feature,weight
non_penalty_xg_p90_league_pos_z,0.09999999999999999
non_penalty_shots_p90_league_pos_z,0.09999999999999999
average_non_penalty_xg_per_shot_league_pos_z,0.09999999999999999
xg_assisted_p90_league_pos_z,0.08333333333333333
completed_open_play_passes_p90_league_pos_z,0.08333333333333333
pressured_pass_completion_pct,0.08333333333333333
successful_box_receipts_p90_league_pos_z,0.05
carries_into_box_p90_league_pos_z,0.05
progressive_carry_distance_p90_league_pos_z,0.05
successful_dribbles_p90_league_pos_z,0.05
final_third_pressures_p90_league_pos_z,0.075
counterpressures_p90_league_pos_z,0.075
ball_security_errors_p90_league_pos_z,0.1
