candidate_rank,similarity_rank,similarity_percentile,profile_distance,player_id,player_name,team_name,competition_name,minutes,matches,non_penalty_xg_p90,non_penalty_shots_p90,average_non_penalty_xg_per_shot,successful_box_receipts_p90,xg_assisted_p90,completed_open_play_passes_p90,final_third_pressures_p90,counterpressures_p90,ball_security_errors_p90
1,2,97.82608695652173,0.6070351123053717,3018,Giovanni-Guy Yann Sio,Rennes,Ligue 1,2724.866666666667,34,0.29480188210444547,2.312039732830964,0.1275072733042857,2.708389401316272,0.1005101225136398,15.259462236684364,8.521517872434124,3.3689721821251193,5.383749663592102
2,3,95.65217391304348,0.6244393933745065,20521,Bafétimbi Gomis,Swansea City,Premier League,1811.7333333333333,33,0.33998898940149397,2.8812187224021195,0.11800179790517243,2.9805710921401234,0.07855864258352958,17.486017073888725,5.8617898145422425,2.8315425375331174,6.209523108625257
3,4,93.47826086956522,0.6357278471413573,4269,Aleksandar Mitrović,Newcastle United,Premier League,2326.0,34,0.3983049824161651,3.0180567497850386,0.13197398705128205,3.404987102321582,0.0987324556921754,16.792777300085984,6.190885640584694,2.9019776440240754,7.003439380911436
4,5,91.30434782608697,0.6689308553803337,3457,Michy Batshuayi Tunga,Olympique de Marseille,Ligue 1,3052.4166666666665,36,0.505344122639548,3.5676649649185075,0.14164562188677685,3.8625133091266486,0.08003527379071229,12.737448469791696,7.105845095416201,3.950967812389091,5.926451718583636
5,6,89.13043478260869,0.6783640584458719,3289,Romelu Lukaku Menama,Everton,Premier League,3299.483333333333,37,0.4525297098120413,3.109577762174886,0.1455277032517544,3.791502710020256,0.13205689427435607,19.25756052715324,4.309765670382737,1.9912208477084798,5.919108547297809
6,7,86.95652173913044,0.6865180463508,15996,Éderzito António Macedo Lopes,Lille,Ligue 1,1158.7333333333333,13,0.2508129934641275,2.330130602381911,0.10763902813333333,3.4951959035728666,0.131674613529141,16.077901156435185,7.378746907542719,3.961222024049249,6.213681606351763
7,8,84.78260869565217,0.7233536451573267,6973,Edin Džeko,AS Roma,Serie A,2087.266666666667,31,0.5131730744929572,3.708198920438212,0.1383887664883721,5.17423105177425,0.07428968346322143,15.048388642243443,6.898974735698999,3.8375546967325684,5.950365709540387
8,9,82.6086956521739,0.7598787737101289,8871,Marco Borriello,Atalanta,Serie A,1695.8166666666666,27,0.2863694879497587,2.8658758317035056,0.09992389927777777,3.34352180365409,0.05771234834740391,15.496958201063402,5.62560811408466,2.9189476063646818,5.8378952127293635
9,10,80.43478260869566,0.8055732856707497,3604,Olivier Giroud,Arsenal,Premier League,2548.1666666666665,38,0.43210606071162283,3.6025900974556877,0.11994316561764706,6.110275361370921,0.1505858772385375,16.600170056903657,6.428150958205246,3.5319510759369486,5.227287592386684
10,11,78.26086956521739,0.8103034175086399,3038,Andy Delort,Stade Malherbe Caen,Ligue 1,3244.9833333333336,36,0.28559849314326213,3.8274464686516105,0.07461854672101449,2.9399226498338455,0.11489476524984718,13.285122162928415,7.127925669880173,3.411419678580783,7.488482221274889
11,12,76.08695652173914,0.8428943579240101,8103,Mattia Destro,Bologna,Serie A,2221.8333333333335,27,0.27786997519015827,2.5924536793938935,0.107184162015625,2.6329607681344234,0.034434642996024306,8.87105243417598,6.359612932263145,3.0785387442802485,6.440627109744204
12,13,73.91304347826086,0.853979247131981,20641,Connor Wickham,Crystal Palace,Premier League,1369.9666666666667,21,0.26063611324119806,2.23363098858853,0.11668718538235294,2.6278011630453295,0.05258989108494124,15.372636803815178,6.372417820384924,3.4818365410350616,6.503807878537191
13,14,71.73913043478262,0.8722765689898034,3380,Christian Benteke Liolo,Liverpool,Premier League,1635.55,29,0.5623901226315307,3.4667237320778943,0.16222524957142856,5.3376540001834245,0.14832852494329124,16.67329033046987,3.90694261869096,2.311149154718596,5.447708721836691
14,15,69.56521739130434,0.8764213487128653,3337,Jermain Defoe,Sunderland,Premier League,2672.9166666666665,33,0.41840953167451284,2.9293842556508185,0.1428319043045977,2.3233047544816836,0.03062566601340608,9.023850350740453,4.545596258768511,1.986593920498831,2.9967264224473893
15,16,67.3913043478261,0.8929763120811238,4271,Andy Carroll,West Ham United,Premier League,1534.7333333333333,27,0.32259384302593286,3.1666739064332567,0.101871507,4.3981582033795235,0.11828217926675644,13.077190391381782,4.51544242213631,2.0524738282437776,3.87037921897398
16,17,65.21739130434783,0.9008089647776499,6284,Kolbeinn Sigþórsson,Nantes,Ligue 1,1762.9333333333334,26,0.20449423080245044,1.7357434578732414,0.11781362612941176,2.501512630464377,0.03968296998373922,17.357434578732413,6.994025109665708,4.390409922855846,4.492512479201331
17,18,63.04347826086957,0.9229961471349296,4041,José Salomón Rondón Giménez,West Bromwich Albion,Premier League,2648.5333333333333,34,0.28338395668382504,2.446637132501007,0.1158259036125,3.092277486910995,0.05558321161649214,12.505034232782924,8.767116391461942,3.737917841320983,6.6263089005235605
18,19,60.86956521739131,0.9238198914754108,36770,Mauricio Ricardo Pinilla Ferreira,Atalanta,Serie A,1438.4166666666667,20,0.17117238384450495,2.5653206650831355,0.0667255311097561,3.0658710387578934,0.14475311766409824,12.513759341868953,6.5697236544812005,3.003302242048549,4.317246972944789
19,20,58.69565217391304,0.9287061900304916,11062,Graziano Pellè,Southampton,Premier League,2292.9833333333336,30,0.3030218645243823,3.2185144535139805,0.09414960501219512,5.063272737845164,0.14379470717202478,20.174590598855925,4.945522209058067,2.551261457053765,5.6912755580430145
20,21,56.52173913043479,0.9409477347267028,3246,Guido Marcelo Carrillo,AS Monaco,Ligue 1,1683.8833333333334,31,0.34245283175794045,2.565498401512377,0.13348393885416668,3.6879039521740418,0.04253726778577296,15.232646758979739,8.55166133837459,4.436174319281818,3.9016954856334065
