competition_name,season_name,player_id,bootstrap_iterations,rank_median,rank_lower,rank_upper
Premier League,2015/2016,10955,100,1.0,1.0,1.0
Ligue 1,2015/2016,3018,97,3.0,2.0,10.199999999999989
Premier League,2015/2016,4269,89,7.0,2.4000000000000004,20.599999999999994
Premier League,2015/2016,20521,94,7.0,2.0,24.0
Premier League,2015/2016,3289,100,7.0,2.0,27.049999999999997
Ligue 1,2015/2016,6723,2,7.5,3.45,11.549999999999999
Premier League,2015/2016,3842,19,8.0,2.0,27.49999999999999
Serie A,2015/2016,7125,14,10.0,3.3,28.999999999999993
Ligue 1,2015/2016,3457,100,10.0,2.0,38.14999999999999
Serie A,2015/2016,8871,98,11.0,3.0,30.14999999999999
Ligue 1,2015/2016,3010,15,11.0,3.0,32.0
Ligue 1,2015/2016,15996,72,13.0,2.0,27.900000000000006
Premier League,2015/2016,20641,59,13.0,4.9,34.099999999999994
Premier League,2015/2016,3085,44,14.0,6.3,38.550000000000004
Serie A,2015/2016,6973,100,14.0,3.0,41.0
Serie A,2015/2016,8103,100,15.0,4.0,34.05
Ligue 1,2015/2016,401453,25,15.0,4.0,40.999999999999986
Premier League,2015/2016,3569,6,15.5,9.25,44.75
Ligue 1,2015/2016,3038,100,16.0,3.0,43.0
Premier League,2015/2016,3529,4,16.5,2.9000000000000004,29.25
Premier League,2015/2016,4041,86,17.0,6.0,32.0
Ligue 1,2015/2016,3673,23,17.0,2.2,33.0
Premier League,2015/2016,3603,6,17.5,11.25,32.25
Serie A,2015/2016,36770,95,18.0,6.0,32.599999999999994
Serie A,2015/2016,3949,7,18.0,9.9,40.4
Premier League,2015/2016,3237,38,18.5,4.85,37.0
Premier League,2015/2016,3604,100,18.5,8.95,39.05
Serie A,2015/2016,5497,100,19.0,2.0,49.05
Ligue 1,2015/2016,3114,79,20.0,4.0,45.0
Premier League,2015/2016,3337,90,20.5,7.0,39.55
Premier League,2015/2016,11062,97,21.0,8.8,38.0
Premier League,2015/2016,3380,99,21.0,6.9,45.0
Ligue 1,2015/2016,4601,22,21.0,8.1,45.55
Ligue 1,2015/2016,3179,24,21.5,4.15,44.39999999999999
Premier League,2015/2016,128704,2,22.0,13.0,31.0
Premier League,2015/2016,4271,82,22.5,8.1,36.900000000000006
Premier League,2015/2016,19362,35,23.0,11.7,31.89999999999999
Ligue 1,2015/2016,4441,6,23.0,5.75,32.0
Ligue 1,2015/2016,6284,64,23.0,6.15,43.39999999999998
Premier League,2015/2016,3670,9,24.0,12.6,40.8
Premier League,2015/2016,4747,9,24.0,5.8,46.0
Premier League,2015/2016,4807,100,24.5,9.0,38.0
Serie A,2015/2016,6686,4,25.0,14.65,34.5
Premier League,2015/2016,3962,53,25.0,10.2,39.4
Serie A,2015/2016,8180,52,25.0,8.0,40.89999999999999
Premier League,2015/2016,3265,82,25.0,8.149999999999999,41.0
Ligue 1,2015/2016,3246,100,25.0,11.0,42.0
Premier League,2015/2016,23663,96,25.0,10.0,43.25
Ligue 1,2015/2016,15796,9,26.0,8.0,39.0
Serie A,2015/2016,6948,100,26.0,4.95,44.0
Ligue 1,2015/2016,10330,65,26.0,9.0,44.0
Premier League,2015/2016,5198,100,26.0,13.0,45.0
Serie A,2015/2016,6334,5,27.0,26.0,38.6
Ligue 1,2015/2016,3423,41,27.0,14.0,41.0
Premier League,2015/2016,30289,76,27.0,10.75,43.0
Serie A,2015/2016,7457,98,27.0,5.0,44.0
Premier League,2015/2016,26699,1,28.0,28.0,28.0
Premier League,2015/2016,3278,2,28.0,19.9,36.1
Premier League,2015/2016,9554,28,28.0,11.05,42.3
Premier League,2015/2016,3318,42,28.0,13.05,42.949999999999996
Premier League,2015/2016,3092,35,28.0,8.100000000000001,44.599999999999994
Serie A,2015/2016,7033,100,28.0,9.0,47.0
Ligue 1,2015/2016,9554,2,29.5,20.95,38.05
Ligue 1,2015/2016,7337,61,32.0,18.0,42.0
Serie A,2015/2016,19286,97,32.0,16.200000000000003,46.19999999999999
Premier League,2015/2016,3598,16,33.0,17.0,43.75
Serie A,2015/2016,32608,61,33.0,12.0,45.0
Ligue 1,2015/2016,3184,99,33.0,11.0,47.0
Serie A,2015/2016,23846,1,34.0,34.0,34.0
Premier League,2015/2016,3616,2,34.0,29.5,38.5
Serie A,2015/2016,20252,4,34.0,24.05,41.4
Premier League,2015/2016,3346,7,34.0,26.7,42.099999999999994
Ligue 1,2015/2016,7130,92,35.0,17.65,47.45
Ligue 1,2015/2016,30255,84,37.0,18.450000000000003,49.54999999999998
Premier League,2015/2016,4040,3,38.0,35.3,47.0
Serie A,2015/2016,6987,9,38.0,29.2,47.0
Serie A,2015/2016,38389,79,38.0,25.9,48.0
Ligue 1,2015/2016,3451,46,38.0,14.0,49.75
Ligue 1,2015/2016,7367,19,38.0,19.7,50.099999999999994
Premier League,2015/2016,6950,17,39.0,27.8,46.599999999999994
Premier League,2015/2016,3538,25,39.0,21.0,49.8
