competition_name,season_name,player_id,player_name,scenarios_in_top_n,best_rank,worst_rank,median_rank
Ligue 1,2015/2016,3018,Giovanni-Guy Yann Sio,4,2,6,2.0
Premier League,2015/2016,4269,Aleksandar Mitrović,4,3,4,3.0
Premier League,2015/2016,20521,Bafétimbi Gomis,4,2,5,3.5
Ligue 1,2015/2016,3457,Michy Batshuayi Tunga,4,4,6,5.5
Ligue 1,2015/2016,15996,Éderzito António Macedo Lopes,4,5,9,6.0
Premier League,2015/2016,3289,Romelu Lukaku Menama,4,4,8,7.0
Serie A,2015/2016,6973,Edin Džeko,4,7,8,7.5
Premier League,2015/2016,3604,Olivier Giroud,4,7,10,9.5
Serie A,2015/2016,8871,Marco Borriello,4,9,11,9.5
Ligue 1,2015/2016,3038,Andy Delort,2,10,11,10.5
Premier League,2015/2016,20641,Connor Wickham,2,11,11,11.0
